what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516760691
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371516762286
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1371516767114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371516769491
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371516776569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371516781443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371516788264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516790773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516818917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516824419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516826202
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371516827208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516840716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516848267
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371516848849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516851742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516852787
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1371516853828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516879500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516883777
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371516889607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371516909549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371517144564
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371517214278
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1371517280988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1371517356508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371517364218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371517388168
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1371517456147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371517476902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371517488615
